	name	coverage	percent GC	Genome Length	CDS	tRNA	putative CRISPR feature
24	Vibrio_virus_1.034.X._10N.261.46.B7	821.0	48.0206385328	44383	68	0	1
25	Vibrio_virus_1.036.O._10N.286.45.C3	17026.0	42.7984665936	40172	62	0	0
26	Vibrio_virus_1.037.O._10N.261.52.F7	563.0	44.9676416692	43111	50	0	0
27	Vibrio_virus_1.038.O._10N.286.51.C2	1537.0	43.1678334376	49567	89	0	0
28	Vibrio_virus_1.039.O._10N.286.55.A2	11755.0	42.5241628429	40972	68	0	0
29	Vibrio_virus_1.040.O._10N.286.45.B9	3321.0	43.3216750165	10579	21	0	1
30	Vibrio_virus_1.042.O._10N.286.45.B8	399.0	43.1751457873	49730	95	0	0
31	Vibrio_virus_1.043.O._10N.261.52.C7	3772.0	41.8224299065	10272	21	0	0
32	Vibrio_virus_1.044.O._10N.261.51.B8	3311.0	41.7932242991	10272	21	0	0
33	Vibrio_virus_1.046.O._10N.286.52.E3	6671.0	48.3224805209	62503	89	2	2
34	Vibrio_virus_1.047.O._10N.286.55.F2	3221.0	43.3002212293	46106	73	0	1
35	Vibrio_virus_1.048.O._10N.286.46.A10	2562.0	41.7248970996	10447	22	0	0
36	Vibrio_virus_1.050.O._10N.286.48.A6	467.0	41.6407198852	45285	60	0	1
37	Vibrio_virus_1.052.A._10N.286.46.C3	453.0	46.7718995547	42889	75	0	0
38	Vibrio_virus_1.054.O._10N.261.52.A1	771.0	42.3181883468	41774	72	0	0
39	Vibrio_virus_1.055.O._10N.286.55.E9	461.0	40.928833238	47199	66	0	0
40	Vibrio_virus_1.056.O._10N.261.48.C11	260.0	44.7570876015	47054	53	0	0
41	Vibrio_virus_1.057.O._10N.261.46.B12	3223.0	41.7794217853	10273	21	0	0
42	Vibrio_virus_1.060.A._10N.261.48.B5	528.0	43.2550784576	41105	65	1	0
43	Vibrio_virus_1.061.O._10N.286.55.C2	465.0	43.0748554012	41667	65	0	0
44	Vibrio_virus_1.062.O._10N.286.55.C3	2774.0	43.3311277058	10579	21	0	1
45	Vibrio_virus_1.063.O._10N.261.45.C7	166.0	37.3356861343	128641	231	0	0
46	Vibrio_virus_1.064.O._10N.261.52.E2	737.0	42.7891974634	36584	61	0	0
47	Vibrio_virus_1.066.O._10N.286.46.E8	412.0	44.7495377553	47053	53	0	0
48	Vibrio_virus_1.067.O._10N.261.52.C9	401.0	42.5418141863	40955	78	0	0
49	Vibrio_virus_1.068.O._10N.261.51.F8	997.0	44.7595561036	47038	53	0	0
50	Vibrio_virus_1.069.O._10N.286.49.F11	2888.0	43.3311277058	10579	21	0	1
51	Vibrio_virus_1.070.O._10N.261.45.B2	709.0	49.3955134167	44087	66	0	0
52	Vibrio_virus_1.071.A._10N.286.46.A12	753.0	43.3096396059	48114	87	0	0
53	Vibrio_virus_1.072.O._10N.286.48.A12	95.0	44.772540422	43788	51	0	0
54	Vibrio_virus_1.074.O._10N.222.49.B7	205.0	42.608742755	36922	64	0	0
55	Vibrio_virus_1.075.O._10N.286.55.B10	435.0	44.2893351531	51290	73	0	0
56	Vibrio_virus_1.076.O._10N.286.51.B7	119.0	42.8434278082	47914	73	1	0
57	Vibrio_virus_1.077.O._10N.261.45.A10	629.0	49.3790723545	44047	66	0	0
58	Vibrio_virus_1.079.O._10N.286.45.E9	606.0	42.782300885	42375	72	0	0
59	Vibrio_virus_1.080.O._10N.286.48.A4	3663.0	41.1905235915	10046	19	0	0
60	Vibrio_virus_1.081.O._10N.286.52.C2	88.0	42.4130236756	239318	354	23	2
61	Vibrio_virus_1.082.O._10N.261.49.E4	275.0	42.9963697291	35810	57	0	0
62	Vibrio_virus_1.083.O._10N.286.52.B9	199.0	38.7078900709	45120	61	0	2
63	Vibrio_virus_1.084.O._10N.261.49.F5	43.0	37.1027299762	141906	244	0	0
64	Vibrio_virus_1.085.O._10N.222.51.E3	173.0	42.7392913802	37820	62	2	0
65	Vibrio_virus_1.086.O._10N.222.51.F8	439.0	44.1919937051	50835	68	0	0
66	Vibrio_virus_1.087.A._10N.261.45.F9	557.0	44.1191925384	45674	67	0	0
67	Vibrio_virus_1.088.O._10N.261.46.A1	469.0	48.7819822804	60385	90	1	0
68	Vibrio_virus_1.089.O._10N.261.51.F9	116.0	48.5605921371	59851	97	1	0
69	Vibrio_virus_1.090.B._10N.286.48.F1	1032.0	42.5193465176	41868	68	0	0
70	Vibrio_virus_1.091.O._10N.286.52.B12	180.0	42.7667269439	43134	75	0	0
71	Vibrio_virus_1.093.O._10N.286.55.E10	287.0	44.2873854553	51290	73	0	0
72	Vibrio_virus_1.094.O._10N.286.55.E12	296.0	44.2854357575	51290	73	0	0
73	Vibrio_virus_1.095.O._10N.286.46.E10	3005.0	41.8167880414	10436	22	0	0
74	Vibrio_virus_1.098.O._10N.286.51.B9	138.0	48.5572505054	59851	97	1	0
75	Vibrio_virus_1.100.O._10N.261.45.C3	564.0	44.4058672076	51268	70	0	0
76	Vibrio_virus_1.101.O._10N.261.45.C6	27.0	37.358925144	130250	224	2	0
77	Vibrio_virus_1.102.O._10N.261.45.E3	3460.0	41.7248970996	10447	22	0	0
78	Vibrio_virus_1.103.O._10N.261.52.F2	511.0	48.6347735959	61748	93	1	0
79	Vibrio_virus_1.104.O._10N.286.49.A12	125.0	48.7506148549	60990	93	0	0
80	Vibrio_virus_1.105.O._10N.286.49.B4	4312.0	42.8088675366	49123	80	0	0
81	Vibrio_virus_1.106.O._10N.286.51.F7	174.0	42.8000849798	47070	77	0	0
82	Vibrio_virus_1.107.A._10N.286.52.E10	4180.0	41.7057528477	10447	22	0	0
83	Vibrio_virus_1.107.B._10N.286.52.E10	3583.0	41.7057528477	10447	22	0	0
84	Vibrio_virus_1.107.C._10N.286.52.E10	2984.0	41.7057528477	10447	22	0	0
85	Vibrio_virus_1.108.O._10N.222.51.A4	168.0	42.7919308988	36584	62	0	0
86	Vibrio_virus_1.110.O._10N.261.52.C1	224.0	42.9225689637	37556	66	1	0
87	Vibrio_virus_1.111.A._10N.286.45.E6	730.0	43.5748215574	40209	62	0	0
88	Vibrio_virus_1.111.B._10N.286.45.E6	795.0	43.5748215574	40209	62	0	0
89	Vibrio_virus_1.112.O._10N.286.46.B11	643.0	43.0829300712	48149	83	0	0
90	Vibrio_virus_1.113.A._10N.286.51.E7	547.0	43.3431483579	44150	74	0	0
91	Vibrio_virus_1.115.A._10N.222.49.B11	261.0	43.2248236049	37416	71	0	0
92	Vibrio_virus_1.115.B._10N.222.49.B11	822.0	43.2221509515	37416	71	0	0
93	Vibrio_virus_1.116.O._10N.222.52.C10	245.0	42.6832626535	36314	61	2	0
94	Vibrio_virus_1.117.O._10N.261.45.E9	460.0	49.4712693121	55794	82	0	0
95	Vibrio_virus_1.118.A._10N.261.49.F6	308.0	48.7958582818	60458	96	1	0
96	Vibrio_virus_1.118.B._10N.261.49.F6	357.0	48.7958582818	60458	96	1	0
97	Vibrio_virus_1.119.O._10N.261.51.A9	166.0	42.1497069194	44527	76	0	0
98	Vibrio_virus_1.121.O._10N.286.46.C4	36.0	39.6861048149	145590	263	3	0
99	Vibrio_virus_1.122.A._10N.286.46.F8	418.0	43.6246434427	44523	69	2	0
100	Vibrio_virus_1.122.B._10N.286.46.F8	450.0	43.629135503	44523	69	2	0
101	Vibrio_virus_1.123.O._10N.286.48.F3	186.0	48.2971934623	46071	72	0	0
102	Vibrio_virus_1.124.O._10N.286.49.B1	220.0	43.5215528107	47604	70	0	1
103	Vibrio_virus_1.125.O._10N.286.49.F5	4584.0	43.3541312157	10578	21	0	1
104	Vibrio_virus_1.127.O._10N.286.52.E12	169.0	42.2976733831	44915	77	0	0
105	Vibrio_virus_1.131.O._10N.222.49.A8	197.0	42.8386892679	37933	67	0	0
106	Vibrio_virus_1.132.O._10N.222.49.F8	187.0	43.2053295781	36926	65	0	0
107	Vibrio_virus_1.133.O._10N.222.51.E4	132.0	42.8991290749	37087	66	0	0
108	Vibrio_virus_1.134.O._10N.222.52.B8	144.0	42.9561010473	36379	62	2	0
109	Vibrio_virus_1.135.O._10N.222.54.B6	411.0	42.5449687485	41918	75	0	0
110	Vibrio_virus_1.136.O._10N.261.45.E11	242.0	45.5505702	21396	38	0	0
111	Vibrio_virus_1.137.O._10N.261.46.B5	523.0	42.4100321408	37958	69	0	0
112	Vibrio_virus_1.138.O._10N.261.48.A1	527.0	45.7982159336	32510	45	0	0
113	Vibrio_virus_1.139.A._10N.261.48.C6	96.0	47.9552548242	43893	67	0	1
114	Vibrio_virus_1.139.B._10N.261.48.C6	488.0	48.0224066766	44094	68	0	1
115	Vibrio_virus_1.141.A._10N.261.49.B3	4331.0	41.1565641485	10047	19	0	0
116	Vibrio_virus_1.142.O._10N.261.49.E11	733.0	46.0504698692	30434	48	0	0
117	Vibrio_virus_1.143.O._10N.261.55.C8	194.0	42.147461091	44527	76	0	0
118	Vibrio_virus_1.144.O._10N.286.45.B3	153.0	42.6336170021	44418	75	0	0
119	Vibrio_virus_1.147.O._10N.286.49.E9	165.0	42.8131691649	37360	66	0	0
120	Vibrio_virus_1.148.O._10N.286.54.A10	537.0	42.4474707114	36789	65	0	0
121	Vibrio_virus_1.149.O._10N.286.55.A12	163.0	42.7466430148	48481	79	0	0
122	Vibrio_virus_1.151.O._10N.222.46.B1	225.0	44.3744780734	44307	64	0	0
123	Vibrio_virus_1.154.O._10N.222.52.B12	511.0	42.207022835	37136	60	0	1
124	Vibrio_virus_1.155.O._10N.222.55.B3	1070.0	44.0008267594	29029	45	0	0
125	Vibrio_virus_1.156.O._10N.261.45.A6	301.0	45.9436379163	31617	50	0	0
126	Vibrio_virus_1.157.O._10N.261.45.B7	206.0	42.9200948264	35855	59	0	0
127	Vibrio_virus_1.158.O._10N.261.45.E12	110.0	44.6190895994	46507	72	0	0
128	Vibrio_virus_1.159.O._10N.261.46.F12	997.0	45.9468007717	31617	50	0	0
129	Vibrio_virus_1.160.O._10N.261.48.B11	201.0	48.6547897389	60734	93	1	0
130	Vibrio_virus_1.161.O._10N.261.48.C5	71.0	37.680211562	140668	228	0	1
131	Vibrio_virus_1.162.O._10N.261.48.E3	216.0	42.8104925054	37360	66	0	0
132	Vibrio_virus_1.164.O._10N.261.51.A7	677.0	44.0281952939	48235	64	0	1
133	Vibrio_virus_1.165.O._10N.261.51.B7	861.0	42.9897964693	37046	61	0	0
134	Vibrio_virus_1.166.O._10N.261.51.C7	214.0	45.9678899083	21800	35	0	0
135	Vibrio_virus_1.167.O._10N.261.51.F2	430.0	43.0482254056	35811	66	0	0
136	Vibrio_virus_1.168.O._10N.261.52.A10	154.0	42.5554579106	37551	66	0	0
137	Vibrio_virus_1.170.O._10N.261.52.C3	65.0	38.6964066661	133692	214	0	0
138	Vibrio_virus_1.171.O._10N.261.52.F12	71.0	48.7245914707	60216	88	0	0
139	Vibrio_virus_1.172.O._10N.261.52.F5	262.0	42.6832626535	36314	61	2	0
140	Vibrio_virus_1.173.O._10N.261.55.A11	81.0	42.7584628508	48063	84	0	0
141	Vibrio_virus_1.174.O._10N.261.55.A8	144.0	43.949599473	47063	68	0	0
142	Vibrio_virus_1.175.O._10N.261.55.B3	593.0	44.5135124119	49066	74	0	0
143	Vibrio_virus_1.176.O._10N.261.55.F5	123.0	42.933933028	36463	63	2	0
144	Vibrio_virus_1.177.O._10N.286.45.E10	372.0	42.1158036048	45439	80	0	0
145	Vibrio_virus_1.178.O._10N.286.45.E12	449.0	41.849050934	39934	74	0	0
146	Vibrio_virus_1.179.O._10N.286.45.F12	1499.0	45.6822655407	31498	45	0	0
147	Vibrio_virus_1.181.O._10N.286.46.C9	122.0	43.3781954288	50228	78	0	0
148	Vibrio_virus_1.182.O._10N.286.46.E1	829.0	42.7282579247	36910	56	0	0
149	Vibrio_virus_1.183.O._10N.286.48.B7	91.0	44.0164657454	37411	41	0	1
150	Vibrio_virus_1.184.A._10N.286.49.A5	860.0	43.7935801875	33272	48	0	1
151	Vibrio_virus_1.185.O._10N.286.49.C2	484.0	46.0446574648	43397	48	0	1
152	Vibrio_virus_1.186.O._10N.286.49.E3	195.0	42.7831342639	48643	78	2	0
153	Vibrio_virus_1.187.O._10N.286.49.F1	370.0	37.9268164558	133254	255	2	0
154	Vibrio_virus_1.189.B._10N.286.51.B5	720.0	42.7974494641	36855	66	0	0
155	Vibrio_virus_1.189.C._10N.286.51.B5	719.0	42.8001628002	36855	66	0	0
156	Vibrio_virus_1.189.O._10N.286.51.B5	469.0	42.7974494641	36855	66	0	0
157	Vibrio_virus_1.190.O._10N.286.51.F12	1810.0	45.9352765664	21785	35	0	0
158	Vibrio_virus_1.191.O._10N.286.52.B4	118.0	44.1969640567	48354	72	0	0
159	Vibrio_virus_1.193.O._10N.286.52.C6	207.0	38.0853952927	132560	249	4	0
160	Vibrio_virus_1.194.O._10N.286.54.B1	110.0	48.5799574999	59294	85	0	0
161	Vibrio_virus_1.195.O._10N.286.54.C8	108.0	48.6524490274	59738	88	0	0
162	Vibrio_virus_1.196.O._10N.286.54.E12	146.0	48.5794593867	59414	85	0	0
163	Vibrio_virus_1.197.A._10N.286.54.F2	224.0	43.6180949604	44587	71	0	0
164	Vibrio_virus_1.198.A._10N.286.54.F4	576.0	41.9050188883	44472	79	0	0
165	Vibrio_virus_1.198.B._10N.286.54.F4	1334.0	41.8577904066	44343	78	0	0
166	Vibrio_virus_1.199.A._10N.286.55.C10	802.0	43.04520616	48312	77	0	0
167	Vibrio_virus_1.199.B._10N.286.55.C10	851.0	43.0431362808	48312	77	0	0
168	Vibrio_virus_1.200.O._10N.286.55.E1	513.0	48.5926775385	59297	85	0	0
169	Vibrio_virus_1.201.B._10N.286.55.F1	730.0	44.2917673148	50506	73	0	0
170	Vibrio_virus_1.202.O._10N.222.45.E8	1174.0	44.5586305991	32014	42	0	0
171	Vibrio_virus_1.205.O._10N.222.51.A7	167.0	44.9249062408	57861	70	0	0
172	Vibrio_virus_1.206.O._10N.222.51.B10	744.0	42.9256211552	37551	62	0	0
173	Vibrio_virus_1.207.B._10N.222.51.C2	252.0	49.4757406843	55793	81	0	0
174	Vibrio_virus_1.208.B._10N.222.52.A7	517.0	44.46420177	48927	69	2	0
175	Vibrio_virus_1.209.O._10N.222.52.B2	508.0	48.0005490483	43712	65	0	1
176	Vibrio_virus_1.210.O._10N.222.52.C2	117.0	42.0392335766	48224	74	1	0
177	Vibrio_virus_1.211.A._10N.222.52.F11	736.0	43.7488229439	37169	40	0	0
178	Vibrio_virus_1.211.B._10N.222.52.F11	119.0	43.7488229439	37169	40	0	0
179	Vibrio_virus_1.213.O._10N.222.54.F10	208.0	42.5676790048	42443	73	0	0
180	Vibrio_virus_1.214.O._10N.222.54.F11	173.0	43.6285488067	44205	69	1	0
181	Vibrio_virus_1.215.A._10N.222.54.F7	118.0	45.5476655863	80834	105	0	0
182	Vibrio_virus_1.215.B._10N.222.54.F7	65.0	45.5476655863	80834	105	0	0
183	Vibrio_virus_1.216.O._10N.222.55.C12	235.0	42.6025774318	41359	69	0	0
184	Vibrio_virus_1.217.O._10N.261.45.A1	336.0	45.7825505351	26912	44	0	0
185	Vibrio_virus_1.219.O._10N.261.45.E2	710.0	45.9436379163	31617	50	0	0
186	Vibrio_virus_1.223.O._10N.261.48.A9	593.0	44.443322903	49535	70	0	0
187	Vibrio_virus_1.225.O._10N.261.48.B7	358.0	44.2421362729	52615	75	0	0
188	Vibrio_virus_1.226.O._10N.261.48.E5	256.0	42.9785443837	35655	67	0	0
189	Vibrio_virus_1.228.O._10N.261.49.C1	255.0	42.8968827556	36667	64	0	0
190	Vibrio_virus_1.231.O._10N.261.49.F8	1131.0	42.1429694343	44527	76	0	0
191	Vibrio_virus_1.232.O._10N.261.51.E11	92.0	43.8962915962	56736	79	0	0
192	Vibrio_virus_1.233.A._10N.261.51.E6	789.0	43.1143578742	36823	60	0	0
193	Vibrio_virus_1.233.B._10N.261.51.E6	657.0	43.1143578742	36823	60	0	0
194	Vibrio_virus_1.235.O._10N.261.52.B2	2261.0	43.0248633473	47017	59	0	0
195	Vibrio_virus_1.236.O._10N.261.52.C4	482.0	42.3251887633	42646	67	0	0
196	Vibrio_virus_1.237.A._10N.261.52.C5	80.0	48.7628334193	60097	95	1	0
197	Vibrio_virus_1.237.B._10N.261.52.C5	377.0	48.7632978723	60160	95	1	0
198	Vibrio_virus_1.239.O._10N.261.52.F6	249.0	43.0213889896	38618	64	0	1
199	Vibrio_virus_1.240.O._10N.261.52.F8	511.0	42.5306456007	36710	59	1	0
200	Vibrio_virus_1.242.O._10N.261.54.B2	212.0	42.7526415606	36910	64	1	0
201	Vibrio_virus_1.243.O._10N.261.54.B5	163.0	42.9400586607	48414	79	2	0
202	Vibrio_virus_1.244.A._10N.261.54.C3	219.0	44.3349907746	159885	211	3	1
203	Vibrio_virus_1.246.O._10N.261.54.E10	361.0	44.7605711497	47133	67	0	0
204	Vibrio_virus_1.247.A._10N.261.54.E12	536.0	44.0564060507	43896	70	1	0
205	Vibrio_virus_1.247.B._10N.261.54.E12	673.0	44.0541279388	43896	70	1	0
206	Vibrio_virus_1.248.O._10N.261.54.F1	3805.0	42.8810997702	48301	80	0	0
207	Vibrio_virus_1.249.A._10N.261.55.B9	3423.0	46.5554613137	10611	22	0	0
208	Vibrio_virus_1.249.B._10N.261.55.B9	1203.0	46.5554613137	10611	22	0	0
209	Vibrio_virus_1.250.O._10N.261.55.E11	253.0	48.9304946566	59981	94	1	0
210	Vibrio_virus_1.251.O._10N.261.55.E5	298.0	48.565776459	59649	93	1	0
211	Vibrio_virus_1.253.O._10N.286.45.B12	611.0	43.0182096664	47008	59	0	0
212	Vibrio_virus_1.254.O._10N.286.45.C8	676.0	45.4662222086	32699	45	0	0
213	Vibrio_virus_1.255.O._10N.286.45.F1	198.0	44.3349907746	159885	211	3	1
214	Vibrio_virus_1.256.O._10N.286.45.F8	123.0	42.9667890555	48207	76	0	0
215	Vibrio_virus_1.257.O._10N.286.46.A4	774.0	45.775539835	32371	47	0	0
216	Vibrio_virus_1.259.O._10N.286.48.F4	371.0	43.7733167525	28145	42	0	0
217	Vibrio_virus_1.262.O._10N.286.51.A9	325.0	39.0721108429	47635	74	4	0
218	Vibrio_virus_1.263.A._10N.286.51.B1	756.0	43.0378726833	49640	76	0	0
219	Vibrio_virus_1.263.B._10N.286.51.B1	64.0	43.0419016922	49640	76	0	0
220	Vibrio_virus_1.264.O._10N.286.51.F2	270.0	42.7700622133	47739	67	0	0
221	Vibrio_virus_1.265.O._10N.286.52.F6	405.0	42.1796928719	43630	70	0	0
222	Vibrio_virus_1.266.O._10N.286.52.F9	257.0	43.2620443831	34788	59	0	0
223	Vibrio_virus_1.267.O._10N.286.54.A1	95.0	48.5794593867	59414	85	0	0
224	Vibrio_virus_1.268.A._10N.286.54.A11	435.0	48.5876182606	59297	85	0	0
225	Vibrio_virus_1.268.B._10N.286.54.A11	342.0	48.5876182606	59297	85	0	0
226	Vibrio_virus_1.269.O._10N.286.54.A6	85.0	48.6524490274	59738	88	0	0
227	Vibrio_virus_1.270.A._10N.286.54.A8	71.0	48.5917630789	59294	85	0	0
228	Vibrio_virus_1.270.B._10N.286.54.A8	44.0	48.5900765676	59294	85	0	0
229	Vibrio_virus_1.271.A._10N.286.54.B4	170.0	48.5859318347	59297	85	0	0
230	Vibrio_virus_1.271.B._10N.286.54.B4	411.0	48.5893046866	59297	85	0	0
231	Vibrio_virus_1.272.O._10N.286.54.C4	286.0	48.5909911125	59297	85	0	0
232	Vibrio_virus_1.273.O._10N.286.54.C7	159.0	42.8601100841	48145	78	2	0
233	Vibrio_virus_1.274.O._10N.286.54.E1	159.0	48.5717652208	59409	85	0	0
234	Vibrio_virus_1.275.O._10N.286.54.E11	256.0	44.304365027	37915	53	1	0
235	Vibrio_virus_1.276.O._10N.286.54.E4	130.0	42.1843280552	44334	72	0	0
236	Vibrio_virus_1.277.A._10N.286.54.E7	337.0	48.5876182606	59297	85	0	0
237	Vibrio_virus_1.277.B._10N.286.54.E7	482.0	48.602298928	59419	85	0	0
238	Vibrio_virus_1.278.O._10N.286.54.E8	387.0	42.6687228603	49282	82	0	0
239	Vibrio_virus_1.280.O._10N.286.54.F6	373.0	48.5909911125	59297	85	0	0
240	Vibrio_virus_1.281.O._10N.286.54.F7	78.0	48.5909911125	59297	85	0	0
241	Vibrio_virus_1.282.A._10N.286.54.F8	255.0	48.5773008305	59359	85	0	0
242	Vibrio_virus_1.283.A._10N.286.55.A1	532.0	48.6208634302	59530	85	0	0
243	Vibrio_virus_1.283.B._10N.286.55.A1	427.0	48.6208634302	59530	85	0	0
244	Vibrio_virus_1.283.C._10N.286.55.A1	370.0	48.6191836049	59530	85	0	0
245	Vibrio_virus_1.284.A._10N.286.55.A5	663.0	43.4542586751	45648	71	0	0
246	Vibrio_virus_1.285.O._10N.286.55.C12	809.0	48.5522485994	59437	93	1	0
247	Vibrio_virus_1.286.O._10N.286.55.C4	575.0	42.9932222019	49131	82	0	0
248	Vibrio_virus_1.287.O._10N.286.55.C7	720.0	43.3343575787	45562	71	0	0
249	Vibrio_virus_1.289.A._10N.286.55.E8	1521.0	43.3919468212	44529	70	0	0
250	Vibrio_virus_1.291.O._10N.286.55.F6	759.0	42.9687142137	43662	74	1	0
251	Vibrio_virus_1.293.O._10N.261.52.E1	413.0	44.1408596582	48275	76	1	0
252	Vibrio_virus_2.044.O._10N.261.51.B8	733.0	44.8156374944	45020	53	0	2
253	Vibrio_virus_2.058.O._10N.286.46.B8	322.0	41.0647697197	101637	143	0	0
254	Vibrio_virus_2.092.O._10N.286.52.B7	2518.0	43.3175803403	10580	21	0	1
255	Vibrio_virus_2.095.A._10N.286.46.E10	578.0	42.3637707451	44649	77	0	0
256	Vibrio_virus_2.095.B._10N.286.46.E10	607.0	42.3592913615	44649	77	0	0
257	Vibrio_virus_2.096.O._10N.286.48.B5	611.0	38.7843251348	44683	57	0	2
258	Vibrio_virus_2.117.O._10N.261.45.E9	438.0	49.4703826508	55795	82	0	0
259	Vibrio_virus_2.159.A._10N.261.46.F12	1185.0	45.946883674	31704	50	0	0
260	Vibrio_virus_2.159.B._10N.261.46.F12	922.0	45.9436379163	31617	50	0	0
261	Vibrio_virus_2.275.O._10N.286.54.E11	51.0	38.0928087679	348911	489	19	1
262	Vibrio_virus_3.058.O._10N.286.46.B8	295.0	41.067668877	101642	143	0	0
