name	percent GC	Genome Length
Vibrio_virus_1.079.O._10N.286.45.E9	42.782300885	42375
Vibrio_virus_1.080.O._10N.286.48.A4	41.1905235915	10046
Vibrio_virus_1.081.O._10N.286.52.C2	42.4130236756	239318
Vibrio_virus_1.082.O._10N.261.49.E4	42.9963697291	35810
Vibrio_virus_1.083.O._10N.286.52.B9	38.7078900709	45120
Vibrio_virus_1.084.O._10N.261.49.F5	37.1027299762	141906
Vibrio_virus_1.085.O._10N.222.51.E3	42.7392913802	37820
Vibrio_virus_1.086.O._10N.222.51.F8	44.1919937051	50835
Vibrio_virus_1.087.A._10N.261.45.F9	44.1191925384	45674
Vibrio_virus_1.088.O._10N.261.46.A1	48.7819822804	60385
Vibrio_virus_1.089.O._10N.261.51.F9	48.5605921371	59851
Vibrio_virus_1.090.B._10N.286.48.F1	42.5193465176	41868
Vibrio_virus_1.091.O._10N.286.52.B12	42.7667269439	43134
Vibrio_virus_1.093.O._10N.286.55.E10	44.2873854553	51290
Vibrio_virus_1.094.O._10N.286.55.E12	44.2854357575	51290
Vibrio_virus_1.095.O._10N.286.46.E10	41.8167880414	10436
Vibrio_virus_1.097.O._10N.286.49.B3	42.5960113367	76918
Vibrio_virus_1.098.O._10N.286.51.B9	48.5572505054	59851
Vibrio_virus_1.100.O._10N.261.45.C3	44.4058672076	51268
Vibrio_virus_1.101.O._10N.261.45.C6	37.358925144	130250
Vibrio_virus_1.102.O._10N.261.45.E3	41.7248970996	10447
Vibrio_virus_1.103.O._10N.261.52.F2	48.6347735959	61748
Vibrio_virus_1.104.O._10N.286.49.A12	48.7506148549	60990
Vibrio_virus_1.105.O._10N.286.49.B4	42.8088675366	49123
Vibrio_virus_1.106.O._10N.286.51.F7	42.8000849798	47070
Vibrio_virus_1.107.A._10N.286.52.E10	41.7057528477	10447
Vibrio_virus_1.107.B._10N.286.52.E10	41.7057528477	10447
Vibrio_virus_1.107.C._10N.286.52.E10	41.7057528477	10447
Vibrio_virus_1.108.O._10N.222.51.A4	42.7919308988	36584
Vibrio_virus_1.110.O._10N.261.52.C1	42.9225689637	37556
Vibrio_virus_1.111.A._10N.286.45.E6	43.5748215574	40209
Vibrio_virus_1.111.B._10N.286.45.E6	43.5748215574	40209
Vibrio_virus_1.112.O._10N.286.46.B11	43.0829300712	48149
Vibrio_virus_1.113.A._10N.286.51.E7	43.3431483579	44150
Vibrio_virus_1.115.A._10N.222.49.B11	43.2248236049	37416
Vibrio_virus_1.115.B._10N.222.49.B11	43.2221509515	37416
Vibrio_virus_1.116.O._10N.222.52.C10	42.6832626535	36314
Vibrio_virus_1.117.O._10N.261.45.E9	49.4712693121	55794
Vibrio_virus_1.118.A._10N.261.49.F6	48.7958582818	60458
Vibrio_virus_1.118.B._10N.261.49.F6	48.7958582818	60458
Vibrio_virus_1.119.O._10N.261.51.A9	42.1497069194	44527
Vibrio_virus_1.121.O._10N.286.46.C4	39.6861048149	145590
Vibrio_virus_1.122.A._10N.286.46.F8	43.6246434427	44523
Vibrio_virus_1.122.B._10N.286.46.F8	43.629135503	44523
Vibrio_virus_1.123.O._10N.286.48.F3	48.2971934623	46071
Vibrio_virus_1.124.O._10N.286.49.B1	43.5215528107	47604
Vibrio_virus_1.125.O._10N.286.49.F5	43.3541312157	10578
Vibrio_virus_1.127.O._10N.286.52.E12	42.2976733831	44915
Vibrio_virus_1.131.O._10N.222.49.A8	42.8386892679	37933
Vibrio_virus_1.132.O._10N.222.49.F8	43.2053295781	36926
Vibrio_virus_1.133.O._10N.222.51.E4	42.8991290749	37087
Vibrio_virus_1.134.O._10N.222.52.B8	42.9561010473	36379
Vibrio_virus_1.135.O._10N.222.54.B6	42.5449687485	41918
Vibrio_virus_1.136.O._10N.261.45.E11	45.5505702	21396
Vibrio_virus_1.137.O._10N.261.46.B5	42.4100321408	37958
Vibrio_virus_1.138.O._10N.261.48.A1	45.7982159336	32510
Vibrio_virus_1.139.A._10N.261.48.C6	47.9552548242	43893
Vibrio_virus_1.139.B._10N.261.48.C6	48.0224066766	44094
Vibrio_virus_1.141.A._10N.261.49.B3	41.1565641485	10047
Vibrio_virus_1.142.O._10N.261.49.E11	46.0504698692	30434
Vibrio_virus_1.143.O._10N.261.55.C8	42.147461091	44527
Vibrio_virus_1.144.O._10N.286.45.B3	42.6336170021	44418
Vibrio_virus_1.147.O._10N.286.49.E9	42.8131691649	37360
Vibrio_virus_1.148.O._10N.286.54.A10	42.4474707114	36789
Vibrio_virus_1.149.O._10N.286.55.A12	42.7466430148	48481
Vibrio_virus_1.150.O._10N.222.46.A6	43.106496385	75796
Vibrio_virus_1.151.O._10N.222.46.B1	44.3744780734	44307
Vibrio_virus_1.152.O._10N.222.46.E1	43.1040396844	75798
Vibrio_virus_1.154.O._10N.222.52.B12	42.207022835	37136
Vibrio_virus_1.155.O._10N.222.55.B3	44.0008267594	29029
Vibrio_virus_1.156.O._10N.261.45.A6	45.9436379163	31617
Vibrio_virus_1.157.O._10N.261.45.B7	42.9200948264	35855
Vibrio_virus_1.158.O._10N.261.45.E12	44.6190895994	46507
Vibrio_virus_1.159.O._10N.261.46.F12	45.9468007717	31617
Vibrio_virus_1.160.O._10N.261.48.B11	48.6547897389	60734
Vibrio_virus_1.161.O._10N.261.48.C5	37.680211562	140668
Vibrio_virus_1.162.O._10N.261.48.E3	42.8104925054	37360
Vibrio_virus_1.164.O._10N.261.51.A7	44.0281952939	48235
Vibrio_virus_1.165.O._10N.261.51.B7	42.9897964693	37046
Vibrio_virus_1.166.O._10N.261.51.C7	45.9678899083	21800
Vibrio_virus_1.167.O._10N.261.51.F2	43.0482254056	35811
Vibrio_virus_1.168.O._10N.261.52.A10	42.5554579106	37551
Vibrio_virus_1.169.O._10N.261.52.B1	42.9409323558	72290
Vibrio_virus_1.170.O._10N.261.52.C3	38.6964066661	133692
Vibrio_virus_1.171.O._10N.261.52.F12	48.7245914707	60216
Vibrio_virus_1.172.O._10N.261.52.F5	42.6832626535	36314
Vibrio_virus_1.173.O._10N.261.55.A11	42.7584628508	48063
Vibrio_virus_1.174.O._10N.261.55.A8	43.949599473	47063
Vibrio_virus_1.175.O._10N.261.55.B3	44.5135124119	49066
Vibrio_virus_1.176.O._10N.261.55.F5	42.933933028	36463
Vibrio_virus_1.177.O._10N.286.45.E10	42.1158036048	45439
Vibrio_virus_1.178.O._10N.286.45.E12	41.849050934	39934
Vibrio_virus_1.179.O._10N.286.45.F12	45.6822655407	31498
Vibrio_virus_1.181.O._10N.286.46.C9	43.3781954288	50228
Vibrio_virus_1.182.O._10N.286.46.E1	42.7282579247	36910
Vibrio_virus_1.183.O._10N.286.48.B7	44.0164657454	37411
Vibrio_virus_1.184.A._10N.286.49.A5	43.7935801875	33272
Vibrio_virus_1.185.O._10N.286.49.C2	46.0446574648	43397
Vibrio_virus_1.186.O._10N.286.49.E3	42.7831342639	48643
Vibrio_virus_1.187.O._10N.286.49.F1	37.9268164558	133254
Vibrio_virus_1.188.A._10N.286.51.A6	42.9831961828	72305
Vibrio_virus_1.188.B._10N.286.51.A6	42.9831961828	72305
Vibrio_virus_1.188.C._10N.286.51.A6	42.9831961828	72305
Vibrio_virus_1.189.B._10N.286.51.B5	42.7974494641	36855
Vibrio_virus_1.189.C._10N.286.51.B5	42.8001628002	36855
Vibrio_virus_1.189.O._10N.286.51.B5	42.7974494641	36855
Vibrio_virus_1.190.O._10N.286.51.F12	45.9352765664	21785
Vibrio_virus_1.191.O._10N.286.52.B4	44.1969640567	48354
Vibrio_virus_1.193.O._10N.286.52.C6	38.0853952927	132560
Vibrio_virus_1.194.O._10N.286.54.B1	48.5799574999	59294
Vibrio_virus_1.195.O._10N.286.54.C8	48.6524490274	59738
Vibrio_virus_1.196.O._10N.286.54.E12	48.5794593867	59414
Vibrio_virus_1.197.A._10N.286.54.F2	43.6180949604	44587
Vibrio_virus_1.198.A._10N.286.54.F4	41.9050188883	44472
Vibrio_virus_1.198.B._10N.286.54.F4	41.8577904066	44343
Vibrio_virus_1.199.A._10N.286.55.C10	43.04520616	48312
Vibrio_virus_1.199.B._10N.286.55.C10	43.0431362808	48312
Vibrio_virus_1.200.O._10N.286.55.E1	48.5926775385	59297
Vibrio_virus_1.201.B._10N.286.55.F1	44.2917673148	50506
Vibrio_virus_1.202.O._10N.222.45.E8	44.5586305991	32014
Vibrio_virus_1.204.O._10N.222.46.F12	43.5156674515	44168
Vibrio_virus_1.205.O._10N.222.51.A7	44.9249062408	57861
Vibrio_virus_1.206.O._10N.222.51.B10	42.9256211552	37551
Vibrio_virus_1.207.B._10N.222.51.C2	49.4757406843	55793
Vibrio_virus_1.208.B._10N.222.52.A7	44.46420177	48927
Vibrio_virus_1.209.O._10N.222.52.B2	48.0005490483	43712
Vibrio_virus_1.210.O._10N.222.52.C2	42.0392335766	48224
Vibrio_virus_1.211.A._10N.222.52.F11	43.7488229439	37169
Vibrio_virus_1.211.B._10N.222.52.F11	43.7488229439	37169
Vibrio_virus_1.213.O._10N.222.54.F10	42.5676790048	42443
Vibrio_virus_1.214.O._10N.222.54.F11	43.6285488067	44205
Vibrio_virus_1.215.A._10N.222.54.F7	45.5476655863	80834
Vibrio_virus_1.215.B._10N.222.54.F7	45.5476655863	80834
Vibrio_virus_1.216.O._10N.222.55.C12	42.6025774318	41359
Vibrio_virus_1.217.O._10N.261.45.A1	45.7825505351	26912
Vibrio_virus_1.219.O._10N.261.45.E2	45.9436379163	31617
Vibrio_virus_1.223.O._10N.261.48.A9	44.443322903	49535
Vibrio_virus_1.224.A._10N.261.48.B1	43.0633386637	71915
Vibrio_virus_1.225.O._10N.261.48.B7	44.2421362729	52615
Vibrio_virus_1.226.O._10N.261.48.E5	42.9785443837	35655
Vibrio_virus_1.228.O._10N.261.49.C1	42.8968827556	36667
Vibrio_virus_1.231.O._10N.261.49.F8	42.1429694343	44527
Vibrio_virus_1.232.O._10N.261.51.E11	43.8962915962	56736
Vibrio_virus_1.233.A._10N.261.51.E6	43.1143578742	36823
Vibrio_virus_1.233.B._10N.261.51.E6	43.1143578742	36823
Vibrio_virus_1.235.O._10N.261.52.B2	43.0248633473	47017
Vibrio_virus_1.236.O._10N.261.52.C4	42.3251887633	42646
Vibrio_virus_1.237.A._10N.261.52.C5	48.7628334193	60097
Vibrio_virus_1.237.B._10N.261.52.C5	48.7632978723	60160
Vibrio_virus_1.238.A._10N.261.52.F10	43.1880727438	70494
Vibrio_virus_1.238.B._10N.261.52.F10	43.1890104588	70467
Vibrio_virus_1.239.O._10N.261.52.F6	43.0213889896	38618
Vibrio_virus_1.240.O._10N.261.52.F8	42.5306456007	36710
Vibrio_virus_1.242.O._10N.261.54.B2	42.7526415606	36910
Vibrio_virus_1.243.O._10N.261.54.B5	42.9400586607	48414
Vibrio_virus_1.244.A._10N.261.54.C3	44.3349907746	159885
Vibrio_virus_1.245.O._10N.261.54.C7	43.1201361189	71702
Vibrio_virus_1.246.O._10N.261.54.E10	44.7605711497	47133
Vibrio_virus_1.247.A._10N.261.54.E12	44.0564060507	43896
Vibrio_virus_1.247.B._10N.261.54.E12	44.0541279388	43896
Vibrio_virus_1.248.O._10N.261.54.F1	42.8810997702	48301
Vibrio_virus_1.249.A._10N.261.55.B9	46.5554613137	10611
Vibrio_virus_1.249.B._10N.261.55.B9	46.5554613137	10611
Vibrio_virus_1.250.O._10N.261.55.E11	48.9304946566	59981
Vibrio_virus_1.251.O._10N.261.55.E5	48.565776459	59649
Vibrio_virus_1.253.O._10N.286.45.B12	43.0182096664	47008
Vibrio_virus_1.254.O._10N.286.45.C8	45.4662222086	32699
Vibrio_virus_1.255.O._10N.286.45.F1	44.3349907746	159885
Vibrio_virus_1.256.O._10N.286.45.F8	42.9667890555	48207
Vibrio_virus_1.257.O._10N.286.46.A4	45.775539835	32371
Vibrio_virus_1.259.O._10N.286.48.F4	43.7733167525	28145
Vibrio_virus_1.261.O._10N.286.51.A7	43.165907323	71992
Vibrio_virus_1.262.O._10N.286.51.A9	39.0721108429	47635
Vibrio_virus_1.263.A._10N.286.51.B1	43.0378726833	49640
Vibrio_virus_1.263.B._10N.286.51.B1	43.0419016922	49640
Vibrio_virus_1.264.O._10N.286.51.F2	42.7700622133	47739
Vibrio_virus_1.265.O._10N.286.52.F6	42.1796928719	43630
Vibrio_virus_1.266.O._10N.286.52.F9	43.2620443831	34788
Vibrio_virus_1.267.O._10N.286.54.A1	48.5794593867	59414
Vibrio_virus_1.268.A._10N.286.54.A11	48.5876182606	59297
Vibrio_virus_1.268.B._10N.286.54.A11	48.5876182606	59297
Vibrio_virus_1.269.O._10N.286.54.A6	48.6524490274	59738
Vibrio_virus_1.270.A._10N.286.54.A8	48.5917630789	59294
Vibrio_virus_1.270.B._10N.286.54.A8	48.5900765676	59294
Vibrio_virus_1.271.A._10N.286.54.B4	48.5859318347	59297
Vibrio_virus_1.271.B._10N.286.54.B4	48.5893046866	59297
Vibrio_virus_1.272.O._10N.286.54.C4	48.5909911125	59297
Vibrio_virus_1.273.O._10N.286.54.C7	42.8601100841	48145
Vibrio_virus_1.274.O._10N.286.54.E1	48.5717652208	59409
Vibrio_virus_1.275.O._10N.286.54.E11	44.304365027	37915
Vibrio_virus_1.276.O._10N.286.54.E4	42.1843280552	44334
Vibrio_virus_1.277.A._10N.286.54.E7	48.5876182606	59297
Vibrio_virus_1.277.B._10N.286.54.E7	48.602298928	59419
Vibrio_virus_1.278.O._10N.286.54.E8	42.6687228603	49282
Vibrio_virus_1.280.O._10N.286.54.F6	48.5909911125	59297
Vibrio_virus_1.281.O._10N.286.54.F7	48.5909911125	59297
Vibrio_virus_1.282.A._10N.286.54.F8	48.5773008305	59359
Vibrio_virus_1.283.A._10N.286.55.A1	48.6208634302	59530
Vibrio_virus_1.283.B._10N.286.55.A1	48.6208634302	59530
Vibrio_virus_1.283.C._10N.286.55.A1	48.6191836049	59530
Vibrio_virus_1.284.A._10N.286.55.A5	43.4542586751	45648
Vibrio_virus_1.285.O._10N.286.55.C12	48.5522485994	59437
Vibrio_virus_1.286.O._10N.286.55.C4	42.9932222019	49131
Vibrio_virus_1.287.O._10N.286.55.C7	43.3343575787	45562
Vibrio_virus_1.289.A._10N.286.55.E8	43.3919468212	44529
Vibrio_virus_1.291.O._10N.286.55.F6	42.9687142137	43662
Vibrio_virus_1.293.O._10N.261.52.E1	44.1408596582	48275
Vibrio_virus_12G01.O._12G01	42.8285700516	41498
Vibrio_virus_2.044.O._10N.261.51.B8	44.8156374944	45020
Vibrio_virus_2.058.O._10N.286.46.B8	41.0647697197	101637
Vibrio_virus_2.092.O._10N.286.52.B7	43.3175803403	10580
Vibrio_virus_2.095.A._10N.286.46.E10	42.3637707451	44649
Vibrio_virus_2.095.B._10N.286.46.E10	42.3592913615	44649
Vibrio_virus_2.096.O._10N.286.48.B5	38.7843251348	44683
Vibrio_virus_2.117.O._10N.261.45.E9	49.4703826508	55795
Vibrio_virus_2.130.O._10N.222.46.C2	43.1098856155	75797
Vibrio_virus_2.159.A._10N.261.46.F12	45.946883674	31704
Vibrio_virus_2.159.B._10N.261.46.F12	45.9436379163	31617
Vibrio_virus_2.275.O._10N.286.54.E11	38.0928087679	348911
Vibrio_virus_3.058.O._10N.286.46.B8	41.067668877	101642
