name	CDS	tRNA	putative CRISPR feature
Vibrio_virus_1.202.O._10N.222.45.E8	42	0	0
Vibrio_virus_1.204.O._10N.222.46.F12	55	0	0
Vibrio_virus_1.205.O._10N.222.51.A7	70	0	0
Vibrio_virus_1.206.O._10N.222.51.B10	62	0	0
Vibrio_virus_1.207.B._10N.222.51.C2	81	0	0
Vibrio_virus_1.208.B._10N.222.52.A7	69	2	0
Vibrio_virus_1.209.O._10N.222.52.B2	65	0	1
Vibrio_virus_1.210.O._10N.222.52.C2	74	1	0
Vibrio_virus_1.211.A._10N.222.52.F11	40	0	0
Vibrio_virus_1.211.B._10N.222.52.F11	40	0	0
Vibrio_virus_1.213.O._10N.222.54.F10	73	0	0
Vibrio_virus_1.214.O._10N.222.54.F11	69	1	0
Vibrio_virus_1.215.A._10N.222.54.F7	105	0	0
Vibrio_virus_1.215.B._10N.222.54.F7	105	0	0
Vibrio_virus_1.216.O._10N.222.55.C12	69	0	0
Vibrio_virus_1.217.O._10N.261.45.A1	44	0	0
Vibrio_virus_1.219.O._10N.261.45.E2	50	0	0
Vibrio_virus_1.223.O._10N.261.48.A9	70	0	0
Vibrio_virus_1.224.A._10N.261.48.B1	85	1	0
Vibrio_virus_1.225.O._10N.261.48.B7	75	0	0
Vibrio_virus_1.226.O._10N.261.48.E5	67	0	0
Vibrio_virus_1.228.O._10N.261.49.C1	64	0	0
Vibrio_virus_1.231.O._10N.261.49.F8	76	0	0
Vibrio_virus_1.232.O._10N.261.51.E11	79	0	0
Vibrio_virus_1.233.A._10N.261.51.E6	60	0	0
Vibrio_virus_1.233.B._10N.261.51.E6	60	0	0
Vibrio_virus_1.235.O._10N.261.52.B2	59	0	0
Vibrio_virus_1.236.O._10N.261.52.C4	67	0	0
Vibrio_virus_1.237.A._10N.261.52.C5	95	1	0
Vibrio_virus_1.237.B._10N.261.52.C5	95	1	0
Vibrio_virus_1.238.A._10N.261.52.F10	93	0	0
Vibrio_virus_1.238.B._10N.261.52.F10	94	0	0
Vibrio_virus_1.239.O._10N.261.52.F6	64	0	1
Vibrio_virus_1.240.O._10N.261.52.F8	59	1	0
Vibrio_virus_1.242.O._10N.261.54.B2	64	1	0
Vibrio_virus_1.243.O._10N.261.54.B5	79	2	0
Vibrio_virus_1.244.A._10N.261.54.C3	211	3	1
Vibrio_virus_1.245.O._10N.261.54.C7	94	0	0
Vibrio_virus_1.246.O._10N.261.54.E10	67	0	0
Vibrio_virus_1.247.A._10N.261.54.E12	70	1	0
Vibrio_virus_1.247.B._10N.261.54.E12	70	1	0
Vibrio_virus_1.248.O._10N.261.54.F1	80	0	0
Vibrio_virus_1.249.A._10N.261.55.B9	22	0	0
Vibrio_virus_1.249.B._10N.261.55.B9	22	0	0
Vibrio_virus_1.250.O._10N.261.55.E11	94	1	0
Vibrio_virus_1.251.O._10N.261.55.E5	93	1	0
Vibrio_virus_1.253.O._10N.286.45.B12	59	0	0
Vibrio_virus_1.254.O._10N.286.45.C8	45	0	0
Vibrio_virus_1.255.O._10N.286.45.F1	211	3	1
Vibrio_virus_1.256.O._10N.286.45.F8	76	0	0
Vibrio_virus_1.257.O._10N.286.46.A4	47	0	0
Vibrio_virus_1.259.O._10N.286.48.F4	42	0	0
Vibrio_virus_1.261.O._10N.286.51.A7	82	1	0
Vibrio_virus_1.262.O._10N.286.51.A9	74	4	0
Vibrio_virus_1.263.A._10N.286.51.B1	76	0	0
Vibrio_virus_1.263.B._10N.286.51.B1	76	0	0
Vibrio_virus_1.264.O._10N.286.51.F2	67	0	0
Vibrio_virus_1.265.O._10N.286.52.F6	70	0	0
Vibrio_virus_1.266.O._10N.286.52.F9	59	0	0
Vibrio_virus_1.267.O._10N.286.54.A1	85	0	0
Vibrio_virus_1.268.A._10N.286.54.A11	85	0	0
Vibrio_virus_1.268.B._10N.286.54.A11	85	0	0
Vibrio_virus_1.269.O._10N.286.54.A6	88	0	0
Vibrio_virus_1.270.A._10N.286.54.A8	85	0	0
Vibrio_virus_1.270.B._10N.286.54.A8	85	0	0
Vibrio_virus_1.271.A._10N.286.54.B4	85	0	0
Vibrio_virus_1.271.B._10N.286.54.B4	85	0	0
Vibrio_virus_1.272.O._10N.286.54.C4	85	0	0
Vibrio_virus_1.273.O._10N.286.54.C7	78	2	0
Vibrio_virus_1.274.O._10N.286.54.E1	85	0	0
Vibrio_virus_1.275.O._10N.286.54.E11	53	1	0
Vibrio_virus_1.276.O._10N.286.54.E4	72	0	0
Vibrio_virus_1.277.A._10N.286.54.E7	85	0	0
Vibrio_virus_1.277.B._10N.286.54.E7	85	0	0
Vibrio_virus_1.278.O._10N.286.54.E8	82	0	0
Vibrio_virus_1.280.O._10N.286.54.F6	85	0	0
Vibrio_virus_1.281.O._10N.286.54.F7	85	0	0
Vibrio_virus_1.282.A._10N.286.54.F8	85	0	0
Vibrio_virus_1.283.A._10N.286.55.A1	85	0	0
Vibrio_virus_1.283.B._10N.286.55.A1	85	0	0
Vibrio_virus_1.283.C._10N.286.55.A1	85	0	0
Vibrio_virus_1.284.A._10N.286.55.A5	71	0	0
Vibrio_virus_1.285.O._10N.286.55.C12	93	1	0
Vibrio_virus_1.286.O._10N.286.55.C4	82	0	0
Vibrio_virus_1.287.O._10N.286.55.C7	71	0	0
Vibrio_virus_1.289.A._10N.286.55.E8	70	0	0
Vibrio_virus_1.291.O._10N.286.55.F6	74	1	0
Vibrio_virus_1.293.O._10N.261.52.E1	76	1	0
Vibrio_virus_12G01.O._12G01	70	0	0
Vibrio_virus_2.044.O._10N.261.51.B8	53	0	2
Vibrio_virus_2.058.O._10N.286.46.B8	143	0	0
Vibrio_virus_2.092.O._10N.286.52.B7	21	0	1
Vibrio_virus_2.095.A._10N.286.46.E10	77	0	0
Vibrio_virus_2.095.B._10N.286.46.E10	77	0	0
Vibrio_virus_2.096.O._10N.286.48.B5	57	0	2
Vibrio_virus_2.117.O._10N.261.45.E9	82	0	0
Vibrio_virus_2.130.O._10N.222.46.C2	107	1	0
Vibrio_virus_2.159.A._10N.261.46.F12	50	0	0
Vibrio_virus_2.159.B._10N.261.46.F12	50	0	0
Vibrio_virus_2.275.O._10N.286.54.E11	489	19	1
Vibrio_virus_3.058.O._10N.286.46.B8	143	0	0
